date,Station,Name,Longitude,Latitude,Elevation(m),Network,stnid
1895-01,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1895-01,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1895-01,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1895-01,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1895-01,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1895-02,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1895-02,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1895-02,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1895-02,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1895-02,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1895-03,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1895-03,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1895-03,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1895-03,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1895-03,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1895-04,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1895-04,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1895-04,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1895-04,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1895-04,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1895-05,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1895-05,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1895-05,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1895-05,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1895-05,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1895-06,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1895-06,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1895-06,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1895-06,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1895-06,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1895-07,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1895-07,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1895-07,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1895-07,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1895-07,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1895-08,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1895-08,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1895-08,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1895-08,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1895-08,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1895-09,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1895-09,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1895-09,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1895-09,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1895-09,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1895-10,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1895-10,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1895-10,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
