date,Station
1895-01,2
1895-02,2
1895-03,2
1895-04,2
1895-05,1
1895-06,1
1895-07,8
1895-08,2
1895-10,1
1895-11,1
1895-12,3
1896-01,3
1896-02,3
1896-03,8
1896-04,4
1896-05,4
1896-06,5
1896-07,2
1896-08,6
1896-09,5
1896-10,4
1896-11,7
1896-12,3
1897-01,6
1897-02,7
1897-03,6
1897-04,7
1897-05,9
1897-06,8
1897-07,9
1897-08,6
1897-09,10
1897-10,7
1897-11,6
1897-12,6
1898-01,8
1898-02,8
1898-03,8
1898-04,5
1898-05,8
1898-06,9
1898-07,8
1898-08,9
1898-09,8
1898-10,6
1898-11,8
1898-12,8
1899-01,5
1899-02,6
1899-03,4
1899-04,9
1899-05,8
1899-06,7
1899-07,7
1899-08,8
1899-09,6
1899-10,8
1899-11,7
1899-12,7
1900-01,11
1900-02,10
1900-03,11
1900-04,13
1900-05,13
1900-06,8
1900-07,9
1900-08,10
1900-09,7
1900-10,8
1900-11,7
1900-12,7
1901-01,7
1901-02,7
1901-03,7
1901-04,7
1901-05,9
1901-06,9
1901-07,11
1901-08,10
1901-09,10
1901-10,9
1901-11,10
1901-12,10
1902-01,14
1902-02,14
1902-03,14
1902-04,12
1902-05,14
1902-06,15
1902-07,10
1902-08,15
1902-09,12
1902-10,15
1902-11,14
1902-12,13
1903-01,13
1903-02,15
1903-03,13
1903-04,13
1903-05,13
1903-06,13
1903-07,14
1903-08,12
1903-09,14
1903-10,15
1903-11,16
1903-12,15
1904-01,15
1904-02,15
1904-03,15
1904-04,14
1904-05,16
1904-06,15
1904-07,16
1904-08,12
1904-09,15
1904-10,17
1904-11,18
1904-12,15
1905-01,14
1905-02,16
1905-03,17
1905-04,18
1905-05,15
1905-06,16
1905-07,17
1905-08,18
1905-09,17
1905-10,18
1905-11,18
1905-12,17
1906-01,15
1906-02,16
1906-03,14
1906-04,16
1906-05,16
1906-06,16
1906-07,15
1906-08,12
1906-09,15
1906-10,13
1906-11,14
1906-12,11
1907-01,15
1907-02,15
1907-03,14
1907-04,13
1907-05,13
1907-06,13
1907-07,15
1907-08,17
1907-09,14
1907-10,14
1907-11,17
1907-12,15
1908-01,16
1908-02,19
1908-03,19
1908-04,19
1908-05,19
1908-06,20
1908-07,16
1908-08,15
1908-09,16
1908-10,18
1908-11,19
1908-12,19
1909-01,16
1909-02,18
1909-03,18
1909-04,16
1909-05,18
1909-06,17
1909-07,18
1909-08,18
1909-09,17
1909-10,21
1909-11,19
1909-12,22
1910-01,22
1910-02,22
1910-03,21
1910-04,24
1910-05,22
1910-06,22
1910-07,24
1910-08,25
1910-09,25
1910-10,23
1910-11,26
1910-12,26
1911-01,22
1911-02,25
1911-03,24
1911-04,23
1911-05,25
1911-06,24
1911-07,23
1911-08,25
1911-09,24
1911-10,23
1911-11,26
1911-12,25
1912-01,23
1912-02,20
1912-03,23
1912-04,27
1912-05,27
1912-06,27
1912-07,25
1912-08,25
1912-09,19
1912-10,25
1912-11,25
1912-12,25
1913-01,26
1913-02,26
1913-03,26
1913-04,26
1913-05,25
1913-06,25
1913-07,25
1913-08,22
1913-09,22
1913-10,25
1913-11,25
1913-12,26
1914-01,27
1914-02,23
1914-03,19
1914-04,27
1914-05,26
1914-06,27
1914-07,26
1914-08,27
1914-09,25
1914-10,29
1914-11,25
1914-12,27
1915-01,27
1915-02,26
1915-03,26
1915-04,28
1915-05,23
1915-06,23
1915-07,24
1915-08,22
1915-09,22
1915-10,20
1915-11,24
1915-12,23
1916-01,24
1916-02,24
1916-03,16
1916-04,26
1916-05,28
1916-06,28
1916-07,27
1916-08,28
1916-09,24
1916-10,27
1916-11,27
1916-12,27
1917-01,27
1917-02,30
1917-03,29
1917-04,28
1917-05,31
1917-06,24
1917-07,30
1917-08,27
1917-09,24
1917-10,27
1917-11,25
1917-12,25
1918-01,29
1918-02,29
1918-03,28
1918-04,27
1918-05,26
1918-06,25
1918-07,27
1918-08,24
1918-09,22
1918-10,27
1918-11,26
1918-12,25
1919-01,25
1919-02,24
1919-03,24
1919-04,24
1919-05,26
1919-06,25
1919-07,26
1919-08,20
1919-09,27
1919-10,28
1919-11,26
1919-12,28
1920-01,28
1920-02,24
1920-03,27
1920-04,28
1920-05,26
1920-06,25
1920-07,23
1920-08,27
1920-09,27
1920-10,29
1920-11,29
1920-12,27
1921-01,28
1921-02,27
1921-03,26
1921-04,28
1921-05,25
1921-06,28
1921-07,28
1921-08,27
1921-09,27
1921-10,25
1921-11,27
1921-12,25
1922-01,29
1922-02,27
1922-03,28
1922-04,28
1922-05,29
1922-06,29
1922-07,29
1922-08,29
1922-09,31
1922-10,30
1922-11,30
1922-12,30
1923-01,30
1923-02,32
1923-03,31
1923-04,30
1923-05,30
1923-06,29
1923-07,30
1923-08,29
1923-09,32
1923-10,29
1923-11,31
1923-12,32
1924-01,32
1924-02,27
1924-03,29
1924-04,30
1924-05,29
1924-06,30
1924-07,27
1924-08,30
1924-09,30
1924-10,30
1924-11,31
1924-12,30
1925-01,32
1925-02,31
1925-03,29
1925-04,30
1925-05,30
1925-06,27
1925-07,27
1925-08,32
1925-09,32
1925-10,31
1925-11,29
1925-12,31
1926-01,30
1926-02,29
1926-03,31
1926-04,25
1926-05,29
1926-06,25
1926-07,28
1926-08,27
1926-09,28
1926-10,28
1926-11,30
1926-12,29
1927-01,30
1927-02,30
1927-03,28
1927-04,28
1927-05,27
1927-06,30
1927-07,23
1927-08,29
1927-09,28
1927-10,30
1927-11,30
1927-12,31
1928-01,31
1928-02,32
1928-03,21
1928-04,32
1928-05,30
1928-06,29
1928-07,31
1928-08,31
1928-09,30
1928-10,32
1928-11,30
1928-12,30
1929-01,30
1929-02,30
1929-03,28
1929-04,31
1929-05,32
1929-06,29
1929-07,31
1929-08,31
1929-09,28
1929-10,29
1929-11,31
1929-12,25
1930-01,30
1930-02,32
1930-03,32
1930-04,32
1930-05,30
1930-06,29
1930-07,27
1930-08,30
1930-09,31
1930-10,30
1930-11,29
1930-12,31
1931-01,32
1931-02,32
1931-03,28
1931-04,29
1931-05,29
1931-06,30
1931-07,29
1931-08,25
1931-09,30
1931-10,30
1931-11,29
1931-12,30
1932-01,30
1932-02,30
1932-03,29
1932-04,30
1932-05,29
1932-06,27
1932-07,32
1932-08,31
1932-09,32
1932-10,31
1932-11,29
1932-12,31
1933-01,29
1933-02,29
1933-03,30
1933-04,29
1933-05,30
1933-06,27
1933-07,29
1933-08,26
1933-09,27
1933-10,29
1933-11,28
1933-12,30
1934-01,30
1934-02,30
1934-03,29
1934-04,31
1934-05,28
1934-06,28
1934-07,26
1934-08,28
1934-09,26
1934-10,25
1934-11,30
1934-12,30
1935-01,28
1935-02,30
1935-03,27
1935-04,30
1935-05,31
1935-06,30
1935-07,28
1935-08,29
1935-09,32
1935-10,29
1935-11,27
1935-12,29
1936-01,30
1936-02,27
1936-03,28
1936-04,28
1936-05,28
1936-06,23
1936-07,26
1936-08,28
1936-09,24
1936-10,28
1936-11,28
1936-12,28
1937-01,26
1937-02,26
1937-03,29
1937-04,27
1937-05,23
1937-06,26
1937-07,30
1937-08,26
1937-09,26
1937-10,30
1937-11,27
1937-12,29
1938-01,30
1938-02,31
1938-03,29
1938-04,30
1938-05,29
1938-06,25
1938-07,26
1938-08,32
1938-09,28
1938-10,31
1938-11,30
1938-12,31
1939-01,30
1939-02,32
1939-03,29
1939-04,31
1939-05,26
1939-06,30
1939-07,31
1939-08,29
1939-09,32
1939-10,31
1939-11,33
1939-12,33
1940-01,33
1940-02,33
1940-03,33
1940-04,38
1940-05,33
1940-06,39
1940-07,37
1940-08,40
1940-09,41
1940-10,40
1940-11,40
1940-12,44
1941-01,40
1941-02,38
1941-03,44
1941-04,47
1941-05,39
1941-06,41
1941-07,43
1941-08,46
1941-09,46
1941-10,43
1941-11,48
1941-12,52
1942-01,51
1942-02,51
1942-03,47
1942-04,49
1942-05,49
1942-06,47
1942-07,46
1942-08,46
1942-09,49
1942-10,48
1942-11,47
1942-12,46
1943-01,47
1943-02,49
1943-03,50
1943-04,48
1943-05,50
1943-06,47
1943-07,42
1943-08,47
1943-09,44
1943-10,45
1943-11,49
1943-12,50
1944-01,49
1944-02,52
1944-03,50
1944-04,44
1944-05,51
1944-06,44
1944-07,45
1944-08,50
1944-09,49
1944-10,43
1944-11,50
1944-12,47
1945-01,50
1945-02,49
1945-03,43
1945-04,46
1945-05,49
1945-06,47
1945-07,48
1945-08,46
1945-09,44
1945-10,42
1945-11,44
1945-12,43
1946-01,49
1946-02,48
1946-03,45
1946-04,41
1946-05,46
1946-06,43
1946-07,43
1946-08,50
1946-09,48
1946-10,50
1946-11,46
1946-12,46
1947-01,50
1947-02,50
1947-03,49
1947-04,46
1947-05,47
1947-06,43
1947-07,28
1947-08,26
1947-09,37
1947-10,36
1947-11,37
1947-12,34
1948-01,42
1948-02,50
1948-03,56
1948-04,60
1948-05,58
1948-06,61
1948-07,57
1948-08,65
1948-09,70
1948-10,69
1948-11,69
1948-12,59
1949-01,75
1949-02,69
1949-03,74
1949-04,74
1949-05,67
1949-06,75
1949-07,74
1949-08,67
1949-09,67
1949-10,75
1949-11,73
1949-12,74
1950-01,73
1950-02,74
1950-03,72
1950-04,69
1950-05,70
1950-06,67
1950-07,62
1950-08,69
1950-09,70
1950-10,74
1950-11,78
1950-12,78
1951-01,76
1951-02,74
1951-03,78
1951-04,74
1951-05,77
1951-06,71
1951-07,80
1951-08,76
1951-09,77
1951-10,68
1951-11,72
1951-12,72
1952-01,72
1952-02,71
1952-03,70
1952-04,73
1952-05,73
1952-06,68
1952-07,71
1952-08,71
1952-09,71
1952-10,74
1952-11,76
1952-12,73
1953-01,74
1953-02,72
1953-03,72
1953-04,66
1953-05,73
1953-06,70
1953-07,70
1953-08,65
1953-09,70
1953-10,72
1953-11,76
1953-12,71
1954-01,69
1954-02,74
1954-03,73
1954-04,71
1954-05,69
1954-06,63
1954-07,69
1954-08,64
1954-09,65
1954-10,71
1954-11,71
1954-12,74
1955-01,75
1955-02,73
1955-03,70
1955-04,72
1955-05,75
1955-06,68
1955-07,62
1955-08,66
1955-09,69
1955-10,64
1955-11,71
1955-12,64
1956-01,73
1956-02,68
1956-03,69
1956-04,63
1956-05,69
1956-06,68
1956-07,69
1956-08,63
1956-09,70
1956-10,73
1956-11,75
1956-12,72
1957-01,75
1957-02,75
1957-03,74
1957-04,73
1957-05,74
1957-06,67
1957-07,67
1957-08,68
1957-09,73
1957-10,70
1957-11,74
1957-12,66
1958-01,74
1958-02,74
1958-03,71
1958-04,72
1958-05,64
1958-06,68
1958-07,70
1958-08,71
1958-09,72
1958-10,74
1958-11,72
1958-12,71
1959-01,73
1959-02,73
1959-03,71
1959-04,75
1959-05,74
1959-06,66
1959-07,71
1959-08,69
1959-09,71
1959-10,74
1959-11,72
1959-12,72
1960-01,71
1960-02,71
1960-03,73
1960-04,68
1960-05,73
1960-06,72
1960-07,65
1960-08,68
1960-09,65
1960-10,73
1960-11,72
1960-12,74
1961-01,71
1961-02,68
1961-03,69
1961-04,70
1961-05,69
1961-06,71
1961-07,68
1961-08,72
1961-09,72
1961-10,73
1961-11,74
1961-12,67
1962-01,72
1962-02,72
1962-03,72
1962-04,71
1962-05,72
1962-06,66
1962-07,72
1962-08,71
1962-09,71
1962-10,64
1962-11,68
1962-12,71
1963-01,71
1963-02,74
1963-03,75
1963-04,73
1963-05,65
1963-06,68
1963-07,75
1963-08,72
1963-09,66
1963-10,72
1963-11,74
1963-12,74
1964-01,73
1964-02,72
1964-03,69
1964-04,69
1964-05,68
1964-06,59
1964-07,66
1964-08,65
1964-09,72
1964-10,70
1964-11,71
1964-12,74
