date,Station
1895-01,5
1895-02,5
1895-03,5
1895-04,5
1895-05,5
1895-06,5
1895-07,5
1895-08,5
1895-09,5
1895-10,5
1895-11,5
1895-12,5
1896-01,5
1896-02,5
1896-03,5
1896-04,5
1896-05,5
1896-06,5
1896-07,5
1896-08,5
1896-09,5
1896-10,5
1896-11,5
1896-12,5
1897-01,5
1897-02,5
1897-03,5
1897-04,5
1897-05,5
1897-06,5
1897-07,5
1897-08,5
1897-09,5
1897-10,5
1897-11,5
1897-12,5
1898-01,5
1898-02,5
1898-03,5
1898-04,5
1898-05,5
1898-06,5
1898-07,5
1898-08,5
1898-09,5
1898-10,5
1898-11,5
1898-12,5
1899-01,5
1899-02,5
1899-03,5
1899-04,5
1899-05,5
1899-06,5
1899-07,5
1899-08,5
1899-09,5
1899-10,5
1899-11,5
1899-12,5
1900-01,5
1900-02,5
1900-03,5
1900-04,5
1900-05,5
1900-06,5
1900-07,5
1900-08,5
1900-09,5
1900-10,5
1900-11,5
1900-12,5
1901-01,5
1901-02,5
1901-03,5
1901-04,5
1901-05,5
1901-06,5
1901-07,5
1901-08,5
1901-09,5
1901-10,5
1901-11,5
1901-12,5
1902-01,5
1902-02,5
1902-03,5
1902-04,5
1902-05,5
1902-06,5
1902-07,5
1902-08,5
1902-09,5
1902-10,5
1902-11,5
1902-12,5
1903-01,5
1903-02,5
1903-03,5
1903-04,5
1903-05,5
1903-06,5
1903-07,5
1903-08,5
1903-09,5
1903-10,5
1903-11,5
1903-12,5
1904-01,5
1904-02,5
1904-03,5
1904-04,5
1904-05,5
1904-06,5
1904-07,5
1904-08,5
1904-09,5
1904-10,5
1904-11,5
1904-12,5
1905-01,5
1905-02,5
1905-03,5
1905-04,5
1905-05,5
1905-06,5
1905-07,5
1905-08,5
1905-09,5
1905-10,5
1905-11,5
1905-12,5
1906-01,5
1906-02,5
1906-03,5
1906-04,5
1906-05,5
1906-06,5
1906-07,5
1906-08,5
1906-09,5
1906-10,5
1906-11,5
1906-12,5
1907-01,5
1907-02,5
1907-03,5
1907-04,5
1907-05,5
1907-06,5
1907-07,5
1907-08,5
1907-09,5
1907-10,5
1907-11,5
1907-12,5
1908-01,5
1908-02,5
1908-03,5
1908-04,5
1908-05,5
1908-06,5
1908-07,5
1908-08,5
1908-09,5
1908-10,5
1908-11,5
1908-12,5
1909-01,5
1909-02,5
1909-03,5
1909-04,5
1909-05,5
1909-06,5
1909-07,5
1909-08,5
1909-09,5
1909-10,5
1909-11,5
1909-12,5
1910-01,5
1910-02,5
1910-03,5
1910-04,5
1910-05,5
1910-06,5
1910-07,5
1910-08,5
1910-09,5
1910-10,5
1910-11,5
1910-12,5
1911-01,5
1911-02,5
1911-03,5
1911-04,5
1911-05,5
1911-06,5
1911-07,5
1911-08,5
1911-09,5
1911-10,5
1911-11,5
1911-12,5
1912-01,5
1912-02,5
1912-03,5
1912-04,5
1912-05,5
1912-06,5
1912-07,5
1912-08,5
1912-09,5
1912-10,5
1912-11,5
1912-12,5
1913-01,5
1913-02,5
1913-03,5
1913-04,5
1913-05,5
1913-06,5
1913-07,5
1913-08,5
1913-09,5
1913-10,5
1913-11,5
1913-12,5
1914-01,5
1914-02,5
1914-03,5
1914-04,5
1914-05,5
1914-06,5
1914-07,5
1914-08,5
1914-09,5
1914-10,5
1914-11,5
1914-12,5
1915-01,5
1915-02,5
1915-03,5
1915-04,5
1915-05,5
1915-06,5
1915-07,5
1915-08,5
1915-09,5
1915-10,5
1915-11,5
1915-12,5
1916-01,5
1916-02,5
1916-03,5
1916-04,5
1916-05,5
1916-06,5
1916-07,5
1916-08,5
1916-09,5
1916-10,5
1916-11,5
1916-12,5
1917-01,5
1917-02,5
1917-03,5
1917-04,5
1917-05,5
1917-06,5
1917-07,5
1917-08,5
1917-09,5
1917-10,5
1917-11,5
1917-12,5
1918-01,5
1918-02,5
1918-03,5
1918-04,5
1918-05,5
1918-06,5
1918-07,5
1918-08,5
1918-09,5
1918-10,5
1918-11,5
1918-12,5
1919-01,5
1919-02,5
1919-03,5
1919-04,5
1919-05,5
1919-06,5
1919-07,5
1919-08,5
1919-09,5
1919-10,5
1919-11,5
1919-12,5
1920-01,5
1920-02,5
1920-03,5
1920-04,5
1920-05,5
1920-06,5
1920-07,5
1920-08,5
1920-09,5
1920-10,5
1920-11,5
1920-12,5
1921-01,5
1921-02,5
1921-03,5
1921-04,5
1921-05,5
1921-06,5
1921-07,5
1921-08,5
1921-09,5
1921-10,5
1921-11,5
1921-12,5
1922-01,5
1922-02,5
1922-03,5
1922-04,5
1922-05,5
1922-06,5
1922-07,5
1922-08,5
1922-09,5
1922-10,5
1922-11,5
1922-12,5
1923-01,5
1923-02,5
1923-03,5
1923-04,5
1923-05,5
1923-06,5
1923-07,5
1923-08,5
1923-09,5
1923-10,5
1923-11,5
1923-12,5
1924-01,5
1924-02,5
1924-03,5
1924-04,5
1924-05,5
1924-06,5
1924-07,5
1924-08,5
1924-09,5
1924-10,5
1924-11,5
1924-12,5
1925-01,5
1925-02,5
1925-03,5
1925-04,5
1925-05,5
1925-06,5
1925-07,5
1925-08,5
1925-09,5
1925-10,5
1925-11,5
1925-12,5
1926-01,5
1926-02,5
1926-03,5
1926-04,5
1926-05,5
1926-06,5
1926-07,5
1926-08,5
1926-09,5
1926-10,5
1926-11,5
1926-12,5
1927-01,5
1927-02,5
1927-03,5
1927-04,5
1927-05,5
1927-06,5
1927-07,5
1927-08,5
1927-09,5
1927-10,5
1927-11,5
1927-12,5
1928-01,5
1928-02,5
1928-03,5
1928-04,5
1928-05,5
1928-06,5
1928-07,5
1928-08,5
1928-09,5
1928-10,5
1928-11,5
1928-12,5
1929-01,5
1929-02,5
1929-03,5
1929-04,5
1929-05,5
1929-06,5
1929-07,5
1929-08,5
1929-09,5
1929-10,5
1929-11,5
1929-12,5
1930-01,5
1930-02,5
1930-03,5
1930-04,5
1930-05,5
1930-06,5
1930-07,5
1930-08,5
1930-09,5
1930-10,5
1930-11,5
1930-12,5
1931-01,5
1931-02,5
1931-03,5
1931-04,5
1931-05,5
1931-06,5
1931-07,5
1931-08,5
1931-09,5
1931-10,5
1931-11,5
1931-12,5
1932-01,5
1932-02,5
1932-03,5
1932-04,5
1932-05,5
1932-06,5
1932-07,5
1932-08,5
1932-09,5
1932-10,5
1932-11,5
1932-12,5
1933-01,5
1933-02,5
1933-03,5
1933-04,5
1933-05,5
1933-06,5
1933-07,5
1933-08,5
1933-09,5
1933-10,5
1933-11,5
1933-12,5
1934-01,5
1934-02,5
1934-03,5
1934-04,5
1934-05,5
1934-06,5
1934-07,5
1934-08,5
1934-09,5
1934-10,5
1934-11,5
1934-12,5
1935-01,5
1935-02,5
1935-03,5
1935-04,5
1935-05,5
1935-06,5
1935-07,5
1935-08,5
1935-09,5
1935-10,5
1935-11,5
1935-12,5
1936-01,5
1936-02,5
1936-03,5
1936-04,5
1936-05,5
1936-06,5
1936-07,5
1936-08,5
1936-09,5
1936-10,5
1936-11,5
1936-12,5
1937-01,5
1937-02,5
1937-03,5
1937-04,5
1937-05,5
1937-06,5
1937-07,4
1937-08,4
1937-09,5
1937-10,5
1937-11,5
1937-12,5
1938-01,5
1938-02,5
1938-03,5
1938-04,5
1938-05,5
1938-06,5
1938-07,5
1938-08,5
1938-09,5
1938-10,5
1938-11,5
1938-12,5
1939-01,5
1939-02,5
1939-03,5
1939-04,5
1939-05,5
1939-06,5
1939-07,5
1939-08,5
1939-09,4
1939-10,5
1939-11,5
1939-12,5
1940-01,5
1940-02,5
1940-03,5
1940-04,5
1940-05,5
1940-06,5
1940-07,5
1940-08,5
1940-09,5
1940-10,5
1940-11,5
1940-12,5
1941-01,5
1941-02,5
1941-03,5
1941-04,5
1941-05,5
1941-06,5
1941-07,5
1941-08,5
1941-09,5
1941-10,5
1941-11,5
1941-12,5
1942-01,5
1942-02,5
1942-03,5
1942-04,5
1942-05,5
1942-06,5
