year,number of station
1895,10
1896,13
1897,13
1898,11
1899,9
1900,13
1901,14
1902,16
1903,18
1904,19
1905,20
1906,19
1907,20
1908,20
1909,24
1910,26
1911,26
1912,28
1913,28
1914,29
1915,30
1916,33
1917,32
1918,30
1919,29
1920,31
1921,31
1922,33
1923,32
1924,32
1925,32
1926,32
1927,31
1928,32
1929,32
1930,32
1931,32
1932,32
1933,32
1934,31
1935,32
1936,30
1937,31
1938,33
1939,33
1940,45
1941,56
1942,54
1943,52
1944,54
1945,52
1946,55
1947,58
1948,79
1949,81
1950,81
1951,81
1952,76
1953,77
1954,78
1955,78
1956,78
1957,78
1958,78
1959,76
1960,76
1961,76
1962,77
1963,78
1964,81
1965,77
1966,67
1967,68
1968,69
1969,70
1970,69
1971,66
1972,65
1973,60
1974,60
1975,63
1976,61
1977,61
1978,67
1979,66
1980,66
1981,65
1982,66
1983,65
1984,67
1985,67
1986,67
1987,65
1988,68
1989,69
1990,71
1991,73
1992,76
1993,76
1994,74
1995,71
1996,83
1997,91
1998,90
1999,89
2000,85
2001,85
2002,83
2003,79
2004,136
2005,149
2006,166
2007,299
2008,416
2009,461
2010,465
2011,485
2012,507
2013,527
2014,511
2015,518
2016,532
2017,552
2018,687
2019,676
2020,652
2021,771
