year,number of station
1895,5
1896,5
1897,5
1898,5
1899,5
1900,5
1901,5
1902,5
1903,5
1904,5
1905,5
1906,5
1907,5
1908,5
1909,5
1910,5
1911,5
1912,5
1913,5
1914,5
1915,5
1916,5
1917,5
1918,5
1919,5
1920,5
1921,5
1922,5
1923,5
1924,5
1925,5
1926,5
1927,5
1928,5
1929,5
1930,5
1931,5
1932,5
1933,5
1934,5
1935,5
1936,5
1937,5
1938,5
1939,5
1940,5
1941,5
1942,6
1943,7
1944,7
1945,7
1946,5
1947,5
1948,5
1949,6
1950,6
1951,7
1952,7
1953,8
1954,8
1955,8
1956,8
1957,7
1958,7
1959,7
1960,7
1961,7
1962,7
1963,7
1964,6
1965,6
1966,6
1967,6
1968,7
1969,7
1970,7
1971,4
1972,4
1973,6
1974,5
1975,6
1976,6
1977,6
1978,6
1979,6
1980,6
1981,6
1982,6
1983,7
1984,7
1985,7
1986,7
1987,7
1988,7
1989,7
1990,7
1991,7
1992,8
1993,7
1994,7
1995,6
1996,10
1997,10
1998,11
1999,11
2000,10
2001,10
2002,11
2003,13
2004,14
2005,14
2006,14
2007,17
2008,21
2009,20
2010,21
2011,21
2012,21
2013,22
2014,92
2015,88
2016,88
2017,85
2018,49
2019,42
2020,74
2021,72
